period;format;download_path;download_mode;path;missing_symbols;inputs_folder;data_folder;ft_PME
2002.01;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2002.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2002;INPUT.txt&PMEnova.012002.txt
2002.02;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2002.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2002;INPUT.txt&PMEnova.022002.txt
2002.03;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2002.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2002;INPUT.txt&PMEnova.032002.txt
2002.04;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2002.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2002;INPUT.txt&PMEnova.042002.txt
2002.05;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2002.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2002;INPUT.txt&PMEnova.052002.txt
2002.06;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2002.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2002;INPUT.txt&PMEnova.062002.txt
2002.07;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2002.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2002;INPUT.txt&PMEnova.072002.txt
2002.08;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2002.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2002;INPUT.txt&PMEnova.082002.txt
2002.09;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2002.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2002;INPUT.txt&PMEnova.092002.txt
2002.10;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2002.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2002;INPUT.txt&PMEnova.102002.txt
2002.11;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2002.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2002;INPUT.txt&PMEnova.112002.txt
2002.12;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2002.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2002;INPUT.txt&PMEnova.122002.txt
2003.01;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2003.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2003;INPUT.txt&PMEnova.012003.txt
2003.02;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2003.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2003;INPUT.txt&PMEnova.022003.txt
2003.03;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2003.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2003;INPUT.txt&PMEnova.032003.txt
2003.04;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2003.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2003;INPUT.txt&PMEnova.042003.txt
2003.05;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2003.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2003;INPUT.txt&PMEnova.052003.txt
2003.06;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2003.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2003;INPUT.txt&PMEnova.062003.txt
2003.07;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2003.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2003;INPUT.txt&PMEnova.072003.txt
2003.08;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2003.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2003;INPUT.txt&PMEnova.082003.txt
2003.09;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2003.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2003;INPUT.txt&PMEnova.092003.txt
2003.10;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2003.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2003;INPUT.txt&PMEnova.102003.txt
2003.11;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2003.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2003;INPUT.txt&PMEnova.112003.txt
2003.12;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2003.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2003;INPUT.txt&PMEnova.122003.txt
2004.01;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2004.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2004;INPUT.txt&PMEnova.012004.txt
2004.02;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2004.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2004;INPUT.txt&PMEnova.022004.txt
2004.03;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2004.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2004;INPUT.txt&PMEnova.032004.txt
2004.04;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2004.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2004;INPUT.txt&PMEnova.042004.txt
2004.05;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2004.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2004;INPUT.txt&PMEnova.052004.txt
2004.06;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2004.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2004;INPUT.txt&PMEnova.062004.txt
2004.07;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2004.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2004;INPUT.txt&PMEnova.072004.txt
2004.08;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2004.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2004;INPUT.txt&PMEnova.082004.txt
2004.09;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2004.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2004;INPUT.txt&PMEnova.092004.txt
2004.10;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2004.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2004;INPUT.txt&PMEnova.102004.txt
2004.11;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2004.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2004;INPUT.txt&PMEnova.112004.txt
2004.12;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2004.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2004;INPUT.txt&PMEnova.122004.txt
2005.01;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2005.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2005;INPUT.txt&PMEnova.012005.txt
2005.02;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2005.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2005;INPUT.txt&PMEnova.022005.txt
2005.03;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2005.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2005;INPUT.txt&PMEnova.032005.txt
2005.04;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2005.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2005;INPUT.txt&PMEnova.042005.txt
2005.05;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2005.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2005;INPUT.txt&PMEnova.052005.txt
2005.06;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2005.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2005;INPUT.txt&PMEnova.062005.txt
2005.07;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2005.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2005;INPUT.txt&PMEnova.072005.txt
2005.08;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2005.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2005;INPUT.txt&PMEnova.082005.txt
2005.09;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2005.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2005;INPUT.txt&PMEnova.092005.txt
2005.10;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2005.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2005;INPUT.txt&PMEnova.102005.txt
2005.11;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2005.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2005;INPUT.txt&PMEnova.112005.txt
2005.12;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2005.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2005;INPUT.txt&PMEnova.122005.txt
2006.01;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2006.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2006;INPUT.txt&PMEnova.012006.txt
2006.02;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2006.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2006;INPUT.txt&PMEnova.022006.txt
2006.03;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2006.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2006;INPUT.txt&PMEnova.032006.txt
2006.04;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2006.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2006;INPUT.txt&PMEnova.042006.txt
2006.05;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2006.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2006;INPUT.txt&PMEnova.052006.txt
2006.06;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2006.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2006;INPUT.txt&PMEnova.062006.txt
2006.07;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2006.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2006;INPUT.txt&PMEnova.072006.txt
2006.08;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2006.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2006;INPUT.txt&PMEnova.082006.txt
2006.09;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2006.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2006;INPUT.txt&PMEnova.092006.txt
2006.10;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2006.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2006;INPUT.txt&PMEnova.102006.txt
2006.11;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2006.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2006;INPUT.txt&PMEnova.112006.txt
2006.12;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2006.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2006;INPUT.txt&PMEnova.122006.txt
2007.01;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2007_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2007_01072016;INPUT.txt&PMEnova.012007.txt
2007.02;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2007_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2007_01072016;INPUT.txt&PMEnova.022007.txt
2007.03;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2007_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2007_01072016;INPUT.txt&PMEnova.032007.txt
2007.04;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2007_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2007_01072016;INPUT.txt&PMEnova.042007.txt
2007.05;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2007_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2007_01072016;INPUT.txt&PMEnova.052007.txt
2007.06;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2007_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2007_01072016;INPUT.txt&PMEnova.062007.txt
2007.07;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2007_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2007_01072016;INPUT.txt&PMEnova.072007.txt
2007.08;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2007_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2007_01072016;INPUT.txt&PMEnova.082007.txt
2007.09;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2007_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2007_01072016;INPUT.txt&PMEnova.092007.txt
2007.10;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2007_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2007_01072016;INPUT.txt&PMEnova.102007.txt
2007.11;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2007_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2007_01072016;INPUT.txt&PMEnova.112007.txt
2007.12;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2007_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2007_01072016;INPUT.txt&PMEnova.122007.txt
2008.01;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2008_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2008_01072016;INPUT.txt&PMEnova.012008.txt
2008.02;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2008_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2008_01072016;INPUT.txt&PMEnova.022008.txt
2008.03;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2008_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2008_01072016;INPUT.txt&PMEnova.032008.txt
2008.04;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2008_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2008_01072016;INPUT.txt&PMEnova.042008.txt
2008.05;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2008_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2008_01072016;INPUT.txt&PMEnova.052008.txt
2008.06;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2008_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2008_01072016;INPUT.txt&PMEnova.062008.txt
2008.07;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2008_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2008_01072016;INPUT.txt&PMEnova.072008.txt
2008.08;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2008_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2008_01072016;INPUT.txt&PMEnova.082008.txt
2008.09;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2008_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2008_01072016;INPUT.txt&PMEnova.092008.txt
2008.10;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2008_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2008_01072016;INPUT.txt&PMEnova.102008.txt
2008.11;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2008_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2008_01072016;INPUT.txt&PMEnova.112008.txt
2008.12;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Mensal_de_Emprego/Microdados_reponderados/PMEnova_2008_01072016.zip;source;NA;NA;Documentacao/documentacao/Layout;PMEnova_2008_01072016;INPUT.txt&PMEnova.122008.txt
