int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;Ano;$4.;;4;0;4;c;TRUE
5;Trimestre;$1.;;1;0;5;c;TRUE
6;UF;$2.;;2;0;7;c;TRUE
8;Capital;$2.;;2;0;9;c;TRUE
10;RM_RIDE;$2.;;2;0;11;c;TRUE
12;UPA;$9.;;9;0;20;c;TRUE
21;Estrato;$7.;;7;0;27;c;TRUE
28;V1008;$2.;;2;0;29;c;TRUE
30;V1014;$2.;;2;0;31;c;TRUE
32;V1016;$1.;;1;0;32;c;TRUE
33;V1023;$1.;;1;0;33;c;TRUE
34;V1027;15.8;;15;8;48;d;FALSE
49;V1028;15.8;;15;8;63;d;FALSE
64;V1029;9.;;9;0;72;i;FALSE
73;posest;$3.;;3;0;75;c;TRUE
76;V2001;2.;;2;0;77;i;FALSE
78;V2003;$2.;;2;0;79;c;TRUE
80;V2005;$2.;;2;0;81;c;TRUE
82;V2007;$1.;;1;0;82;c;TRUE
83;V2008;$2.;;2;0;84;c;TRUE
85;V20081;$2.;;2;0;86;c;TRUE
87;V20082;$4.;;4;0;90;c;TRUE
91;V2009;3.;;3;0;93;i;FALSE
94;V2010;$1.;;1;0;94;c;TRUE
95;V3001;$1.;;1;0;95;c;TRUE
96;V3002;$1.;;1;0;96;c;TRUE
97;V3002A;$1.;;1;0;97;c;TRUE
98;V3003A;$2.;;2;0;99;c;TRUE
100;V3004;$1.;;1;0;100;c;TRUE
101;V3005A;$1.;;1;0;101;c;TRUE
102;V3006;$2.;;2;0;103;c;TRUE
104;V3007;$1.;;1;0;104;c;TRUE
105;V3008;$1.;;1;0;105;c;TRUE
106;V3009A;$2.;;2;0;107;c;TRUE
108;V3010;$1.;;1;0;108;c;TRUE
109;V3011A;$1.;;1;0;109;c;TRUE
110;V3012;$1.;;1;0;110;c;TRUE
111;V3013;$2.;;2;0;112;c;TRUE
113;V3014;$1.;;1;0;113;c;TRUE
114;V4001;$1.;;1;0;114;c;TRUE
115;V4002;$1.;;1;0;115;c;TRUE
116;V4003;$1.;;1;0;116;c;TRUE
117;V4004;$1.;;1;0;117;c;TRUE
118;V4005;$1.;;1;0;118;c;TRUE
119;V4006A;$1.;;1;0;119;c;TRUE
120;V4008;$1.;;1;0;120;c;TRUE
121;V40081;$2.;;2;0;122;c;TRUE
123;V40082;$2.;;2;0;124;c;TRUE
125;V40083;$2.;;2;0;126;c;TRUE
127;V4009;$1.;;1;0;127;c;TRUE
128;V4010;$4.;;4;0;131;c;TRUE
132;V4012;$1.;;1;0;132;c;TRUE
133;V40121;$1.;;1;0;133;c;TRUE
134;V4013;$5.;;5;0;138;c;TRUE
139;V40132A;$1.;;1;0;139;c;TRUE
140;V4014;$1.;;1;0;140;c;TRUE
141;V4019;$1.;;1;0;141;c;TRUE
142;V4024;$1.;;1;0;142;c;TRUE
143;V4025;$1.;;1;0;143;c;TRUE
144;V4028;$1.;;1;0;144;c;TRUE
145;V4029;$1.;;1;0;145;c;TRUE
146;V4032;$1.;;1;0;146;c;TRUE
147;V4033;$1.;;1;0;147;c;TRUE
148;V40331;$1.;;1;0;148;c;TRUE
149;V403311;$1.;;1;0;149;c;TRUE
150;V403312;8.;;8;0;157;i;FALSE
158;V40332;$1.;;1;0;158;c;TRUE
159;V403321;$1.;;1;0;159;c;TRUE
160;V403322;8.;;8;0;167;i;FALSE
168;V40333;$1.;;1;0;168;c;TRUE
169;V4034;$1.;;1;0;169;c;TRUE
170;V40341;$1.;;1;0;170;c;TRUE
171;V403411;$1.;;1;0;171;c;TRUE
172;V403412;8.;;8;0;179;i;FALSE
180;V40342;$1.;;1;0;180;c;TRUE
181;V403421;$1.;;1;0;181;c;TRUE
182;V403422;8.;;8;0;189;i;FALSE
190;V4039;3.;;3;0;192;i;FALSE
193;V4039C;3.;;3;0;195;i;FALSE
196;V4040;$1.;;1;0;196;c;TRUE
197;V40401;2.;;2;0;198;i;FALSE
199;V40402;2.;;2;0;200;i;FALSE
201;V40403;2.;;2;0;202;i;FALSE
203;V4041;$4.;;4;0;206;c;TRUE
207;V4043;$1.;;1;0;207;c;TRUE
208;V40431;$1.;;1;0;208;c;TRUE
209;V4044;$5.;;5;0;213;c;TRUE
214;V4045;$1.;;1;0;214;c;TRUE
215;V4046;$1.;;1;0;215;c;TRUE
216;V4047;$1.;;1;0;216;c;TRUE
217;V4048;$1.;;1;0;217;c;TRUE
218;V4049;$1.;;1;0;218;c;TRUE
219;V4050;$1.;;1;0;219;c;TRUE
220;V40501;$1.;;1;0;220;c;TRUE
221;V405011;$1.;;1;0;221;c;TRUE
222;V405012;8.;;8;0;229;i;FALSE
230;V40502;$1.;;1;0;230;c;TRUE
231;V405021;$1.;;1;0;231;c;TRUE
232;V405022;8.;;8;0;239;i;FALSE
240;V40503;$1.;;1;0;240;c;TRUE
241;V4051;$1.;;1;0;241;c;TRUE
242;V40511;$1.;;1;0;242;c;TRUE
243;V405111;$1.;;1;0;243;c;TRUE
244;V405112;8.;;8;0;251;i;FALSE
252;V40512;$1.;;1;0;252;c;TRUE
253;V405121;$1.;;1;0;253;c;TRUE
254;V405122;8.;;8;0;261;i;FALSE
262;V4056;3.;;3;0;264;i;FALSE
265;V4056C;3.;;3;0;267;i;FALSE
268;V4057;$1.;;1;0;268;c;TRUE
269;V4058;$1.;;1;0;269;c;TRUE
270;V40581;$1.;;1;0;270;c;TRUE
271;V405811;$1.;;1;0;271;c;TRUE
272;V405812;8.;;8;0;279;i;FALSE
280;V40582;$1.;;1;0;280;c;TRUE
281;V405821;$1.;;1;0;281;c;TRUE
282;V405822;8.;;8;0;289;i;FALSE
290;V40583;$1.;;1;0;290;c;TRUE
291;V40584;$1.;;1;0;291;c;TRUE
292;V4059;$1.;;1;0;292;c;TRUE
293;V40591;$1.;;1;0;293;c;TRUE
294;V405911;$1.;;1;0;294;c;TRUE
295;V405912;8.;;8;0;302;i;FALSE
303;V40592;$1.;;1;0;303;c;TRUE
304;V405921;$1.;;1;0;304;c;TRUE
305;V405922;8.;;8;0;312;i;FALSE
313;V4062;3.;;3;0;315;i;FALSE
316;V4062C;3.;;3;0;318;i;FALSE
319;V4063A;$1.;;1;0;319;c;TRUE
320;V4064A;$1.;;1;0;320;c;TRUE
321;V4071;$1.;;1;0;321;c;TRUE
322;V4072A;$1.;;1;0;322;c;TRUE
323;V4073;$1.;;1;0;323;c;TRUE
324;V4074A;$2.;;2;0;325;c;TRUE
326;V4076;$1.;;1;0;326;c;TRUE
327;V40761;2.;;2;0;328;i;FALSE
329;V40762;2.;;2;0;330;i;FALSE
331;V40763;2.;;2;0;332;i;FALSE
333;V4077;$1.;;1;0;333;c;TRUE
334;V4078A;$1.;;1;0;334;c;TRUE
335;VD2003;2.;;2;0;336;i;FALSE
337;VD3001;$1.;;1;0;337;c;TRUE
338;VD4001;$1.;;1;0;338;c;TRUE
339;VD4002;$1.;;1;0;339;c;TRUE
340;VD4003;$1.;;1;0;340;c;TRUE
341;VD4004;$1.;;1;0;341;c;TRUE
342;VD4007;$1.;;1;0;342;c;TRUE
343;VD4008;$1.;;1;0;343;c;TRUE
344;VD4009;$2.;;2;0;345;c;TRUE
346;VD4010;$2.;;2;0;347;c;TRUE
348;VD4011;$2.;;2;0;349;c;TRUE
350;VD4012;$1.;;1;0;350;c;TRUE
351;VD4013;$1.;;1;0;351;c;TRUE
352;VD4014;$1.;;1;0;352;c;TRUE
353;VD4015;$1.;;1;0;353;c;TRUE
354;VD4016;8.;;8;0;361;i;FALSE
362;VD4017;8.;;8;0;369;i;FALSE
370;VD4018;$1.;;1;0;370;c;TRUE
371;VD4019;8.;;8;0;378;i;FALSE
379;VD4020;8.;;8;0;386;i;FALSE
387;VD4030;$1.;;1;0;387;c;TRUE
388;VD4031;3.;;3;0;390;i;FALSE
391;VD4035;3.;;3;0;393;i;FALSE
394;VD4036;$1.;;1;0;394;c;TRUE
395;VD4037;$1.;;1;0;395;c;TRUE
